"drug","position","n_missed","escape_prob","barrier_competence","pearl_index","pearl_lo","pearl_hi"
"LNG","start",0,0.017,0.935,0.28,0.1,0.76
"LNG","start",1,0.032,0.867,1.1,0.39,2.95
"LNG","start",2,0.048,0.799,2.52,0.9,6.73
"LNG","start",3,0.107,0.731,7.26,2.63,19.24
"LNG","start",4,0.172,0.663,14.09,5.16,37.42
"LNG","start",5,0.263,0.594,24.49,9.07,64.28
"LNG","start",6,0.368,0.526,36.98,13.94,94.71
"LNG","start",7,0.48,0.458,49.94,19.19,124.46
"LNG","mid",0,0.017,0.953,0.21,0.07,0.56
"LNG","mid",1,0.025,0.939,0.4,0.14,1.08
"LNG","mid",2,0.04,0.898,1.06,0.38,2.85
"LNG","mid",3,0.075,0.835,3.18,1.14,8.5
"LNG","mid",4,0.113,0.766,6.7,2.42,17.78
"LNG","mid",5,0.163,0.697,12.16,4.44,32.2
"LNG","mid",6,0.232,0.628,20.28,7.47,53.48
"LNG","mid",7,0.297,0.56,29.12,10.89,75.44
"LNG","late",0,0.017,0.579,1.82,0.65,4.88
"LNG","late",1,0.027,0.564,3,1.08,8.01
"LNG","late",2,0.05,0.523,6.07,2.19,16.09
"LNG","late",3,0.098,0.456,13.08,4.79,34.69
"LNG","late",4,0.16,0.38,22.98,8.49,60.41
"LNG","late",5,0.25,0.296,37.25,14.05,95.29
"LNG","late",6,0.368,0.196,54.59,21.12,135.42
"LNG","late",7,0.68,0.103,80.54,32.66,192.56
"DRSP","start",0,0.02,0.934,0.34,0.12,0.93
"DRSP","start",1,0.027,0.865,0.94,0.34,2.53
"DRSP","start",2,0.037,0.796,1.94,0.7,5.19
"DRSP","start",3,0.085,0.728,5.89,2.13,15.64
"DRSP","start",4,0.18,0.659,14.87,5.46,39.5
"DRSP","start",5,0.277,0.59,25.81,9.59,67.45
"DRSP","start",6,0.397,0.522,39.49,14.96,100.48
"DRSP","start",7,0.523,0.454,53.32,20.57,132.64
"DRSP","mid",0,0.013,0.958,0.15,0.05,0.39
"DRSP","mid",1,0.018,0.946,0.26,0.09,0.69
"DRSP","mid",2,0.03,0.914,0.67,0.24,1.81
"DRSP","mid",3,0.052,0.857,1.91,0.69,5.12
"DRSP","mid",4,0.085,0.789,4.59,1.65,12.23
"DRSP","mid",5,0.143,0.719,10.03,3.64,26.54
"DRSP","mid",6,0.207,0.649,17.33,6.38,46.03
"DRSP","mid",7,0.297,0.58,28.02,10.46,72.51
"DRSP","late",0,0.013,0.607,1.36,0.49,3.66
"DRSP","late",1,0.018,0.594,1.94,0.69,5.18
"DRSP","late",2,0.035,0.559,3.97,1.43,10.58
"DRSP","late",3,0.077,0.497,9.63,3.49,25.47
"DRSP","late",4,0.145,0.419,19.89,7.33,52.55
"DRSP","late",5,0.237,0.328,34.32,12.88,88.64
"DRSP","late",6,0.4,0.22,56.51,21.9,139.57
"DRSP","late",7,0.697,0.128,80.38,32.59,192.23
"ETG","mid",0,0.008,0.854,0.32,0.11,0.86
"ETG","mid",1,0.257,0.833,10.66,3.88,28.2
"ETG","mid",2,0.593,0.785,28.61,10.69,74.12
"ETG","mid",3,0.807,0.723,44.69,17.14,113.53
"ETG","mid",4,0.902,0.66,55.91,21.67,138.11
"ETG","mid",5,0.948,0.597,64.15,25.03,156.28
"ETG","mid",6,0.968,0.535,70.03,27.68,169.35
"ETG","mid",7,0.983,0.474,75.18,30.09,180.25
"LNGP","mid",0,0.478,0.99,1.22,0.44,3.27
"LNGP","mid",1,0.772,0.988,2.46,0.88,6.58
"LNGP","mid",2,0.845,0.965,7.52,2.72,19.94
"LNGP","mid",3,0.86,0.904,19.59,7.22,51.79
"LNGP","mid",4,0.868,0.833,31.86,11.9,82.73
"LNGP","mid",5,0.87,0.762,42.22,16.11,107.34
"LNGP","mid",6,0.872,0.691,51.3,19.72,127.34
"LNGP","mid",7,0.873,0.62,58.85,22.83,145.37
"DRSPP","mid",0,0.002,0.917,0.04,0.01,0.1
"DRSPP","mid",1,0.13,0.9,3.35,1.2,8.94
"DRSPP","mid",2,0.407,0.86,13.83,5.07,36.73
"DRSPP","mid",3,0.658,0.8,29.38,10.98,76.12
"DRSPP","mid",4,0.805,0.732,43.51,16.64,110.73
"DRSPP","mid",5,0.88,0.664,54.57,21.11,135.37
"DRSPP","mid",6,0.925,0.596,63.39,24.65,154.28
"DRSPP","mid",7,0.955,0.529,69.99,27.67,169.26
